file flag system user
boolean_cell_cycle.smv 1 0.00 0.00
boolean_cell_cycle.smv 1 0.00 0.00
boolean_cell_cycle.smv 1 0.00 0.00
boolean_cell_cycle.smv 1 0.00 0.00
boolean_cell_cycle.smv 1 0.00 0.01
boolean_cell_cycle.smv 1 0.00 0.01
boolean_cell_cycle.smv 1 0.00 0.01
boolean_cell_cycle.smv 1 0.00 0.01
boolean_cell_cycle.smv 1 0.00 0.01
boolean_cell_cycle.smv 1 0.01 0.00
boolean_cell_cycle.smv 1 0.00 0.00
boolean_cell_cycle.smv 1 0.00 0.00
boolean_cell_cycle.smv 1 0.00 0.01
boolean_cell_cycle.smv 1 0.00 0.01
boolean_cell_cycle.smv 1 0.00 0.01
boolean_cell_cycle.smv 1 0.00 0.01
boolean_cell_cycle.smv 1 0.00 0.01
boolean_cell_cycle.smv 1 0.00 0.01
boolean_cell_cycle.smv 1 0.00 0.00
boolean_cell_cycle.smv 1 0.00 0.00
boolean_cell_cycle.smv 0 0.00 0.00
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.00
boolean_cell_cycle.smv 0 0.00 0.00
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.00
boolean_cell_cycle.smv 0 0.00 0.00
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.01
boolean_cell_cycle.smv 0 0.00 0.00
boolean_cell_cycle.smv 0 0.00 0.00
buddingYeastIrons2009.smv 1 0.01 0.14
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.01 0.14
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.15
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.15
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.14
buddingYeastIrons2009.smv 1 0.00 0.15
buddingYeastIrons2009.smv 1 0.00 0.15
buddingYeastIrons2009.smv 0 0.00 0.14
buddingYeastIrons2009.smv 0 0.00 0.15
buddingYeastIrons2009.smv 0 0.00 0.14
buddingYeastIrons2009.smv 0 0.01 0.13
buddingYeastIrons2009.smv 0 0.00 0.16
buddingYeastIrons2009.smv 0 0.00 0.14
buddingYeastIrons2009.smv 0 0.00 0.14
buddingYeastIrons2009.smv 0 0.00 0.14
buddingYeastIrons2009.smv 0 0.00 0.14
buddingYeastIrons2009.smv 0 0.00 0.14
buddingYeastIrons2009.smv 0 0.00 0.15
buddingYeastIrons2009.smv 0 0.00 0.14
buddingYeastIrons2009.smv 0 0.00 0.15
buddingYeastIrons2009.smv 0 0.00 0.15
buddingYeastIrons2009.smv 0 0.00 0.14
buddingYeastIrons2009.smv 0 0.00 0.15
buddingYeastIrons2009.smv 0 0.00 0.14
buddingYeastIrons2009.smv 0 0.00 0.15
buddingYeastIrons2009.smv 0 0.00 0.14
buddingYeastIrons2009.smv 0 0.00 0.15
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.01
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.01
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.01
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.00
buddingYeastOrlando2008.smv 1 0.00 0.00
